GO:0016791;GO:0042578	GO:0008135;GO:0090079;GO:0045182	GO:0016829	GO:0003924	GO:0003677	GO:0016746	GO:0032182	GO:0008233;GO:0140096	unknown;GO:0043167	GO:0005198	GO:0043167;unknown	GO:0003677;GO:0006259;unknown	GO:0005515	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0019899	GO:0003674;GO:0007165;unknown	GO:0004518	GO:0004386	GO:0022857;GO:0005215	GO:0003674;GO:0006259;unknown	GO:0016491	GO:0016301;GO:0016772	GO:0003674;GO:0005575;GO:0007165;unknown	GO:0016874	unknown;GO:0003674;GO:0005575;GO:0007165;GO:0016192	GO:0016740	GO:0016757	GO:0030234;GO:0098772	GO:0016853	GO:0003729	GO:0016810	GO:0003674;unknown	GO:0016787	GO:0016788	GO:0016765	GO:0003735	GO:0016779	GO:0030674;GO:0060090	GO:0003723	GO:0008289	GO:0008092	GO:0019843	GO:0003700;GO:0140110	GO:0008134	unknown	GO:0008565	unknown;GO:0003674	GO:0016887	GO:0016798	GO:0051082	GO:0003676;GO:0097159;GO:1901363	GO:0008168;GO:0016741
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.286	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.286	1.000	1.000	0.000	1.000	1.000	0	1.000	1.000	1	1.000	1.000	1.000	1.000	1.000	0.000	1.000
1.000	1.000	1.000	1.000	0.376	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.995	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	1.000	0	0.857	1	1.000	1.000	1.000	1.000	1.000	0.376	1.000
1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0	1	1.000	1.000	1.000	1.000	1.000	0.714	1.000
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.889	1.000	0.889	1.000	1.000	1.000	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000
1.000	0.974	0.991	1.000	0.849	1.000	1.000	0.988	1.000	1.000	1.000	1.000	0.988	0.000	1.000	1.000	0.989	0.000	0.698	1.000	0.988	1.000	1.000	0.974	1.000	0.994	0.994	1.000	0.984	1.000	1.000	1.000	0.000	0.994	1.000	1.000	1.000	1.000	0.965	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.808	1.000
1.000	1.000	1.000	1.000	0.947	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.991	1.000	1.000	1.000	0.974	0.982	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.947	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000
0.995	0.000	1.000	0.970	0.000	0.989	0.800	0.995	1.000	0.872	1.000	1.000	0.973	0.887	0.965	1.000	0.596	0.635	1.000	1.000	0.995	0.885	1.000	0.842	1.000	0.918	0.991	0.973	0.790	0.000	0.932	1.000	0.899	0.867	1.000	0.816	0.325	1.000	0.000	0.980	0.993	0.000	0.376	0.714	1.000	1.000	1.000	0.808	0.947	1.000	0	0.879
1.000	1.000	1.000	1.000	0.949	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.879	0
